No,Category,Type,Question,Revised,Disclaimer,Combined_Content
32,Display,Dynamic AMOLED 2X,What is the improvement on the S23 Series Display ?,"""That's a great question <Customer Name> ! 

There are so many great things about the Galaxy S23 Series' display!
The S23 Series has a Dynamic AMOLED 2X display for perfectly watching all your favorite content in various lighting conditions.

All Galaxy S23 models have a peak brightness of 1750 nits, which is the same as the S22 Ultra, but a new feature, Adaptive Vision Booster* provides better outdoor visibility by adjusting the color tone and brightness automatically for various lighting conditions. Also, the new Enhanced comfort mode optimizes a font color, color temperature/gamut, and contrast ratio to relieve your eyestrains at night. 

S23 Series’ display still features a 120Hz Adaptive Refresh Rate to consume less power. 
•	(S23 Ultra: 1-120 Hz)
•	(S23/S23+: 48-120 Hz)

So, overall you can enjoy bright, vivid, and accurate colors, even outdoors, for the ultimate viewing experience.""",*Not activated when Eye comfort shield is active.,"Revised : 
""That's a great question <Customer Name> ! 

There are so many great things about the Galaxy S23 Series' display!
The S23 Series has a Dynamic AMOLED 2X display for perfectly watching all your favorite content in various lighting conditions.

All Galaxy S23 models have a peak brightness of 1750 nits, which is the same as the S22 Ultra, but a new feature, Adaptive Vision Booster* provides better outdoor visibility by adjusting the color tone and brightness automatically for various lighting conditions. Also, the new Enhanced comfort mode optimizes a font color, color temperature/gamut, and contrast ratio to relieve your eyestrains at night. 

S23 Series’ display still features a 120Hz Adaptive Refresh Rate to consume less power. 
•	(S23 Ultra: 1-120 Hz)
•	(S23/S23+: 48-120 Hz)

So, overall you can enjoy bright, vivid, and accurate colors, even outdoors, for the ultimate viewing experience."" 

Disclaimer : 
*Not activated when Eye comfort shield is active."
33,Display,120Hz,Are there any Improvements to the Adaptive Refresh Rate (compared with S22 Series)?,"Like the S22 Series, the S23 Series supports a 120Hz Adaptive Refresh Rate. It automatically adapts from 1Hz to 120Hz based on the content you are viewing for smoother scrolling and viewing with less power consumption.
• (S23 Ultra: 1-120 Hz)
• (S23/S23+: 48-120 Hz)

In addition to that, its display has new features for better outdoor visibility and eye comfort.",,"Revised : 
Like the S22 Series, the S23 Series supports a 120Hz Adaptive Refresh Rate. It automatically adapts from 1Hz to 120Hz based on the content you are viewing for smoother scrolling and viewing with less power consumption.
• (S23 Ultra: 1-120 Hz)
• (S23/S23+: 48-120 Hz)

In addition to that, its display has new features for better outdoor visibility and eye comfort."
34,Display,Brightness,How has the brightness of the display been improved?What is 'Adaptive Vision Booster'? ,"The Galaxy S23 Series' Dynamic AMOLED 2X display boasts ultimate outdoor visibility with a 1200/1750 nits of HDR/peak brightness.

The brightness is the same as the S22 Ultra, however a new Adaptive Vision Booster* provides upgraded visibility by automatically finding the optimal color tone and display brightness in 3 levels based on lighting conditions around you.

So, the S23 Series provides an immersive viewing experience, even under direct sunlight.",*Not activated when Eye comfort shield is active.,"Revised : 
The Galaxy S23 Series' Dynamic AMOLED 2X display boasts ultimate outdoor visibility with a 1200/1750 nits of HDR/peak brightness.

The brightness is the same as the S22 Ultra, however a new Adaptive Vision Booster* provides upgraded visibility by automatically finding the optimal color tone and display brightness in 3 levels based on lighting conditions around you.

So, the S23 Series provides an immersive viewing experience, even under direct sunlight. 

Disclaimer : 
*Not activated when Eye comfort shield is active."
35,Display,Size,What is the screen size?,"The new Galaxy S23 Series is available in 3 sizes. 

- S23 Ultra has 6.8"" QHD+ 
- S23+ has 6.6"" FHD+ 
- S23 has 6.1"" FHD+ 

All 3 models feature an advanced cinematic Infinity-O Display, perfectly designed to show your favorite contents on a large, immersive screen with a minimized punch hole and thinner bezel.",,"Revised : 
The new Galaxy S23 Series is available in 3 sizes. 

- S23 Ultra has 6.8"" QHD+ 
- S23+ has 6.6"" FHD+ 
- S23 has 6.1"" FHD+ 

All 3 models feature an advanced cinematic Infinity-O Display, perfectly designed to show your favorite contents on a large, immersive screen with a minimized punch hole and thinner bezel."
36,S Pen,S Pen,What's new about the S Pen for the S23 Ultra?,"That is a great question indeed, <Customer Name>! 

Like the S22 Ultra, the S23 Ultra is equipped with the S Pen. Advanced Text Extraction feature* is now more intelligent than ever, so you can get various app suggestions by the context of the text extracted from an image or video. And the S Pen to Text feature is also improved to be available for Google apps**. ","* Available to scan the date, time, address, phone number, email, URL
** Google, Chrome, Message, Gmail, Maps, etc.","Revised : 
That is a great question indeed, <Customer Name>! 

Like the S22 Ultra, the S23 Ultra is equipped with the S Pen. Advanced Text Extraction feature* is now more intelligent than ever, so you can get various app suggestions by the context of the text extracted from an image or video. And the S Pen to Text feature is also improved to be available for Google apps**.  

Disclaimer : 
* Available to scan the date, time, address, phone number, email, URL
** Google, Chrome, Message, Gmail, Maps, etc."
37,S Pen,Compatibility,Can I use previous <S Pen> in other Galaxy Series for <S23 Ultra> ?,"That is a great question indeed, <Customer Name>! 

Yes, you can use the previous S Pen on the S23 Ultra.

Basic functions including touch interaction, hovering and writing work on the S23 Ultra.
However, Bluetooth functions like ""Air Actions"" are not available on the S23 Ultra.",,"Revised : 
That is a great question indeed, <Customer Name>! 

Yes, you can use the previous S Pen on the S23 Ultra.

Basic functions including touch interaction, hovering and writing work on the S23 Ultra.
However, Bluetooth functions like ""Air Actions"" are not available on the S23 Ultra."
38,S Pen,Compatibility,Can I use the S23 Ultra's S Pen with other devices ?,"That is a great question indeed, <Customer Name>! 
Yes, basic functions such as touch interaction, hovering and writing work on other devices.",,"Revised : 
That is a great question indeed, <Customer Name>! 
Yes, basic functions such as touch interaction, hovering and writing work on other devices."
39,S Pen,IP68,Does the S23 Ultra’s S Pen support water and dust resistance?    Is it possible to charge and use the S Pen when it is slightly wet?,"The S Pen for the S23 Ultra also support IP68 rating of water resistance. A small amount of water won't cause any issue with charging and usage, but it is recommended that water is removed before using it.",*IP68 is based on test conditions for submersion in up to 1.5 meters of freshwater for up to 30 minutes. Not advised for beach or pool use. Water or dust damage not covered by warranty.,"Revised : 
The S Pen for the S23 Ultra also support IP68 rating of water resistance. A small amount of water won't cause any issue with charging and usage, but it is recommended that water is removed before using it. 

Disclaimer : 
*IP68 is based on test conditions for submersion in up to 1.5 meters of freshwater for up to 30 minutes. Not advised for beach or pool use. Water or dust damage not covered by warranty."
40,S Pen,S Pen,How can the S23 Ultra help me not lose the S Pen?,"That is a great question indeed, <Customer Name>! 

'The device sends a notification if the device is moved when S Pen is not inserted.",,"Revised : 
That is a great question indeed, <Customer Name>! 

'The device sends a notification if the device is moved when S Pen is not inserted."
41,S Pen,Bluetooth,Does the S Pen for the S23 Ultra support more Air Action features than the S22 Ultra?,"That is a great question indeed, <Customer Name>! 

No, it supports the same Air Action features as the S22 Ultra.",,"Revised : 
That is a great question indeed, <Customer Name>! 

No, it supports the same Air Action features as the S22 Ultra."
42,S Pen,Battery,Does the S23 Ultra S Pen have an internal battery? How is it charged and what is the available usage time when fully charged?,"The S Pen for the S23 Ultra comes has a 0.35 mAh of battery and it is automatically charged when inserted into the S23 Ultra. Also, it can be fully charged in 7 mins. It lasts up to 24 hrs on standby, or you can use it continuously for Air Actions for 20 mins when it's fully charged.",,"Revised : 
The S Pen for the S23 Ultra comes has a 0.35 mAh of battery and it is automatically charged when inserted into the S23 Ultra. Also, it can be fully charged in 7 mins. It lasts up to 24 hrs on standby, or you can use it continuously for Air Actions for 20 mins when it's fully charged."
43,Galaxy Ecosystem,Link to Windows,How does <Link to Windows> work?,"Thank you for asking, <Customer Name> 

Galaxy's phone-PC continuity features are more enhanced with Link to Windows for your productivity. 

With Link to Windows, you continuously browse websites from your phone on your PC. Its Audio Streaming features lets you listen to sound either on your phone or PC while controlling the volume on your PC. And your PC can easily go online by directly connecting it to your mobile network with an instant hotspot feature.

Of course, using phone apps on your PC, easy file transferring between your phone and PC, and more powerful features are also still available.","* Availability may vary depending on country or carrier.
* Compatibility and availability of functions and features may vary depending on app.
* To connect your phone to your PC, activate 'Link to Windows"", and use the 'Your Phone' application on your PC. 'Your Phone"" application is preloaded on PCs with Windows 10 October 2018 Update or later, and is downloadable for Windows 10 April 2018 Update or later versions. Requires a Microsoft Account.
","Revised : 
Thank you for asking, <Customer Name> 

Galaxy's phone-PC continuity features are more enhanced with Link to Windows for your productivity. 

With Link to Windows, you continuously browse websites from your phone on your PC. Its Audio Streaming features lets you listen to sound either on your phone or PC while controlling the volume on your PC. And your PC can easily go online by directly connecting it to your mobile network with an instant hotspot feature.

Of course, using phone apps on your PC, easy file transferring between your phone and PC, and more powerful features are also still available. 

Disclaimer : 
* Availability may vary depending on country or carrier.
* Compatibility and availability of functions and features may vary depending on app.
* To connect your phone to your PC, activate 'Link to Windows"", and use the 'Your Phone' application on your PC. 'Your Phone"" application is preloaded on PCs with Windows 10 October 2018 Update or later, and is downloadable for Windows 10 April 2018 Update or later versions. Requires a Microsoft Account.
"
44,Galaxy Ecosystem,App Cast,What is App Cast?,"We are glad you asked, <Customer Name>! 

App Cast is a type of mirroring service. A big difference is that you can still use other apps on your S23 Series while mirroring a specific app to your TV. So, even if you are watching YouTube with your family by mirroring your phone to the TV, you can use other apps, such as running messenger apps, etc., on your phone.","* Supported apps: YouTube, Netflix, Twitch, Google Play Movies & TV, Samsung Internet, Samsung Health and more  (TBD)
* For a device-to-device connection, Wi-Fi Direct connection needed.
","Revised : 
We are glad you asked, <Customer Name>! 

App Cast is a type of mirroring service. A big difference is that you can still use other apps on your S23 Series while mirroring a specific app to your TV. So, even if you are watching YouTube with your family by mirroring your phone to the TV, you can use other apps, such as running messenger apps, etc., on your phone. 

Disclaimer : 
* Supported apps: YouTube, Netflix, Twitch, Google Play Movies & TV, Samsung Internet, Samsung Health and more  (TBD)
* For a device-to-device connection, Wi-Fi Direct connection needed.
"
45,Galaxy Ecosystem,"Samsung
DeX ",How does <Samsung DeX> work with Galaxy S23 Series?,"Thank you for asking, <Customer Name> 

Samsung DeX has been upgraded with a new way to wirelessly set up a second screen that expands on an even bigger display. You can use separate apps on the external display and S23 Series simultaneously. 

You can watch movies on a TV while surfing the Web on the mobile at the same time, or you can take a note with Samsung Notes while watching online lectures on TV.","※Samsung DeX Wireless connection is supported with smart TVs that support Miracast only. Samsung DeX provides optimized experience with Samsung smart TV launched after ’19.
 ※Samsung DeX for PC requires PC app download, and operates on selected devices, Windows 7, 10 and versions of Mac OS higher than 10.13. Certain apps may not run or require separate license (for purchase) on Samsung DeX.
","Revised : 
Thank you for asking, <Customer Name> 

Samsung DeX has been upgraded with a new way to wirelessly set up a second screen that expands on an even bigger display. You can use separate apps on the external display and S23 Series simultaneously. 

You can watch movies on a TV while surfing the Web on the mobile at the same time, or you can take a note with Samsung Notes while watching online lectures on TV. 

Disclaimer : 
※Samsung DeX Wireless connection is supported with smart TVs that support Miracast only. Samsung DeX provides optimized experience with Samsung smart TV launched after ’19.
 ※Samsung DeX for PC requires PC app download, and operates on selected devices, Windows 7, 10 and versions of Mac OS higher than 10.13. Certain apps may not run or require separate license (for purchase) on Samsung DeX.
"
46,Galaxy Ecosystem,Music share,What is <Music Share>? Is the number of devices that can be connected for Music Sharing limited?,"We are glad you asked <Customer Name>! 

Music Share is a new way to spread the tunes around through Galaxy phones and Bluetooth. Instead of having to unpair and repair with your Bluetooth devices, your friends can just connect to your phone to play music. 

It works with compatible Bluetooth headphones, too. 

You are also able to connect to the Bluetooth speaker in your friend’s car by syncing up to their connected Galaxy phone. Your friend doesn't have to unpair their phone from their car in order to make this work!",※Both phones need to have Wi-Fi and Bluetooth turned on while sharing. ,"Revised : 
We are glad you asked <Customer Name>! 

Music Share is a new way to spread the tunes around through Galaxy phones and Bluetooth. Instead of having to unpair and repair with your Bluetooth devices, your friends can just connect to your phone to play music. 

It works with compatible Bluetooth headphones, too. 

You are also able to connect to the Bluetooth speaker in your friend’s car by syncing up to their connected Galaxy phone. Your friend doesn't have to unpair their phone from their car in order to make this work! 

Disclaimer : 
※Both phones need to have Wi-Fi and Bluetooth turned on while sharing. "
47,Galaxy Ecosystem,Motion Mirror,How do you use Motion Mirror?,"We are glad you asked, <Customer Name>! 

* Steps: Tap [Smart View] on the Quick Panel → Select the device to mirror your phone on → Tap [Smart View] → Create a PIP (Picture-in-Picture) screen to mirror the front camera of your phone.

Motion Mirror lets you enjoy Samsung Health, YouTube, and more of your phone content on a TV screen, and you can do things like check your poses and posture in real time with Motion Mirror while working out.

* Tip: If a Galaxy Watch is paired with your phone, you can monitor your workout information, such as a duration, heart rate, calorie consumption, etc. in real time. And your activity information is automatically recorded to Samsung Health.",,"Revised : 
We are glad you asked, <Customer Name>! 

* Steps: Tap [Smart View] on the Quick Panel → Select the device to mirror your phone on → Tap [Smart View] → Create a PIP (Picture-in-Picture) screen to mirror the front camera of your phone.

Motion Mirror lets you enjoy Samsung Health, YouTube, and more of your phone content on a TV screen, and you can do things like check your poses and posture in real time with Motion Mirror while working out.

* Tip: If a Galaxy Watch is paired with your phone, you can monitor your workout information, such as a duration, heart rate, calorie consumption, etc. in real time. And your activity information is automatically recorded to Samsung Health."
48,Accessories,Case,"What are the improvements to the APS lineup, compared to the S22 Series?","We are glad you asked, <Customer Name>! 

We have prepared 3 new cases for the Galaxy S23 Series, ""Clear Gadget"", ""Rugged Gadget"",  and ""Silicone Grip"".
Above all, all the cases received ECOLOGO certification from UL Solutions by applying recycled (PCM, Recycled micro fiber) or bio-based materials.

Try to find a case that will work best for you.",,"Revised : 
We are glad you asked, <Customer Name>! 

We have prepared 3 new cases for the Galaxy S23 Series, ""Clear Gadget"", ""Rugged Gadget"",  and ""Silicone Grip"".
Above all, all the cases received ECOLOGO certification from UL Solutions by applying recycled (PCM, Recycled micro fiber) or bio-based materials.

Try to find a case that will work best for you."
49,Accessories,In-box,Why did Samsung choose to remove wired headphones and in-box chargers for the S23 Series? ,"We discovered that more and more Galaxy users are reusing accessories they already have. Therefore, we are transitioning to the removal of the charger plug and earphones in our latest line of Galaxy smartphones – starting in select countries.

We believe that the gradual removal of the charger plug and earphones from our in-box device packaging can help alleviate pressure that consumers may feel towards continually receiving new chargers and accessories every time they buy a new phone. It is important to note that we have used a standardized charging port (USB-C type) since 2017, making older chargers still compatible with our newest Galaxy devices. We are including the USB-C cable in the box. In addition, we find that 25% of consumers are choosing to charge their device wirelessly. ","*Charger not included; use only Samsung-approved chargers and cables; do not use any worn or damaged chargers or cables; incompatible charger or cable can cause serious injuries or damage to your device.
* S23 Series In-box items: Smartphone, manual and USB-C to USB-C cable
* Due to local government regulations, S23 Series will be sold with a charger plug and/or earphones in the packaging in select markets. ","Revised : 
We discovered that more and more Galaxy users are reusing accessories they already have. Therefore, we are transitioning to the removal of the charger plug and earphones in our latest line of Galaxy smartphones – starting in select countries.

We believe that the gradual removal of the charger plug and earphones from our in-box device packaging can help alleviate pressure that consumers may feel towards continually receiving new chargers and accessories every time they buy a new phone. It is important to note that we have used a standardized charging port (USB-C type) since 2017, making older chargers still compatible with our newest Galaxy devices. We are including the USB-C cable in the box. In addition, we find that 25% of consumers are choosing to charge their device wirelessly.  

Disclaimer : 
*Charger not included; use only Samsung-approved chargers and cables; do not use any worn or damaged chargers or cables; incompatible charger or cable can cause serious injuries or damage to your device.
* S23 Series In-box items: Smartphone, manual and USB-C to USB-C cable
* Due to local government regulations, S23 Series will be sold with a charger plug and/or earphones in the packaging in select markets. "
50,Accessories,In-box,Will Samsung exclude the charger from the smartphone package in the future?,"Samsung is working on the global transition of the removal of the charger plug and earphones from Galaxy smartphones*, starting with S21 Series. The Galaxy S23 Series and other Galaxy smartphones will still include a cable in the packaging to attach the smartphone to the consumer’s existing charger plug. ",* Exception models may exist.,"Revised : 
Samsung is working on the global transition of the removal of the charger plug and earphones from Galaxy smartphones*, starting with S21 Series. The Galaxy S23 Series and other Galaxy smartphones will still include a cable in the packaging to attach the smartphone to the consumer’s existing charger plug.  

Disclaimer : 
* Exception models may exist."
51,Accessories,Case,What kind of dedicated cases are available for <Galaxy S23 Series> ? ,"We have a variety of phone cases in different style and colors. Each one is designed to match your lifestyle.

Not only that,  we put our eco-conscious efforts not only toward the device, but also the S23-exclusive cases. All the cases received ECOLOGO certification from UL Solutions by applying recycled (PCM, Recycled micro fiber) or bio-based materials.

Total of 8 types of cases have been prepared for the S23 Series, and ""Clear/Rugged Gadget Case"" and ""Silicone Grip Case"" are the new types of case that comes with the Series.

- The ""Clear Gadget"" and ""Rugged Gadget"" are customizable with a grip/strap/stand to match your tastes. 
- And ""Smart View Wallet Case"" provides information, such as the time or notifications, without opening the cover. 
- ""Silicone Grip Case"" is customizable by changing the strap on the back. 
- The ""Leather Case"" and ""Silicone Case"" are designed to highlight the slimmer look of the S23 Series.
- Also, the ""Frame Case"" and ""Clear Case"" emphasize its own premium design with a more natural look and feel.

Have a closer look, and let's try it out. ",*Accessories sold separately. Model and color availability may vary by country or carrier.,"Revised : 
We have a variety of phone cases in different style and colors. Each one is designed to match your lifestyle.

Not only that,  we put our eco-conscious efforts not only toward the device, but also the S23-exclusive cases. All the cases received ECOLOGO certification from UL Solutions by applying recycled (PCM, Recycled micro fiber) or bio-based materials.

Total of 8 types of cases have been prepared for the S23 Series, and ""Clear/Rugged Gadget Case"" and ""Silicone Grip Case"" are the new types of case that comes with the Series.

- The ""Clear Gadget"" and ""Rugged Gadget"" are customizable with a grip/strap/stand to match your tastes. 
- And ""Smart View Wallet Case"" provides information, such as the time or notifications, without opening the cover. 
- ""Silicone Grip Case"" is customizable by changing the strap on the back. 
- The ""Leather Case"" and ""Silicone Case"" are designed to highlight the slimmer look of the S23 Series.
- Also, the ""Frame Case"" and ""Clear Case"" emphasize its own premium design with a more natural look and feel.

Have a closer look, and let's try it out.  

Disclaimer : 
*Accessories sold separately. Model and color availability may vary by country or carrier."
52,Service,Samsung Pay,Why are you no longer supporting non-NFC merchants? ,"NFC is becoming more widely accepted and expected by consumers and businesses. 
Currently 90%*of merchant locations, where Samsung Pay users shop at, have NFC terminals.
Samsung Pay will focus its support on NFC transactions, across the Galaxy portfolio.
We will continue to support MST on previous, compatible devices. 
* The percentage can be different by countries. ",* The percentage can be different by countries. ,"Revised : 
NFC is becoming more widely accepted and expected by consumers and businesses. 
Currently 90%*of merchant locations, where Samsung Pay users shop at, have NFC terminals.
Samsung Pay will focus its support on NFC transactions, across the Galaxy portfolio.
We will continue to support MST on previous, compatible devices. 
* The percentage can be different by countries.  

Disclaimer : 
* The percentage can be different by countries. "
53,Service,Pre-order Benefits,Are there any benefits for customers who purchase S23 Series during the pre-order period?,"If you pre-order S23 Series now, you would get a free storage upgrade as follows:

128GB -> 256GB: S23
256GB -> 512GB: S23/S23+/S23 Ultra

With more storage, you can take high-resolution photos and videos, and store a whole season of your favorite shows.
We also provide additional pre-order benefits which is <promotion>*. ","*Additional pre-order benefit varies by region. It can be in the form of Enhanced Trade-in, Eco Bundle, or E-voucher. ","Revised : 
If you pre-order S23 Series now, you would get a free storage upgrade as follows:

128GB -> 256GB: S23
256GB -> 512GB: S23/S23+/S23 Ultra

With more storage, you can take high-resolution photos and videos, and store a whole season of your favorite shows.
We also provide additional pre-order benefits which is <promotion>*.  

Disclaimer : 
*Additional pre-order benefit varies by region. It can be in the form of Enhanced Trade-in, Eco Bundle, or E-voucher. "
